,StudentID,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,At_Risk_Numeracy
996,458032161,5.032876712,1,0,1,0,0,0,1,5,2,89,89,True
997,127452575,6.101369863,1,0,1,0,0,0,0,2,1,95,95,False
998,260476140,5.534246575,1,1,0,0,0,0,0,3,1,101,101,False
999,391099546,4.75890411,0,1,0,0,0,0,0,2,2,95,95,False
1000,274092989,5.405479452,1,1,0,0,0,0,0,2,1,116,104,False
1001,470569575,5.315068493,0,0,1,0,0,0,0,3,2,103,103,True
1002,692868962,5.98630137,0,1,0,0,0,0,0,2,2,114,114,False
1003,177690149,4.77260274,0,1,0,0,0,0,0,2,1,104,98,False
1004,232834062,5.580821918,0,1,0,0,0,0,0,1,1,101,101,False
1005,143887752,5.564383562,1,0,1,0,0,0,1,1,1,95,95,True
1006,927962238,5.578082192,1,1,0,0,0,0,0,1,1,101,101,False
1007,189172240,5.62739726,1,0,0,1,0,0,0,2,2,107,107,False
1008,832716117,5.290410959,1,0,1,0,0,0,0,3,2,110,110,True
1009,248832088,5.043835616,0,1,0,0,0,0,0,3,2,88,88,False
1010,139544087,5.98630137,1,0,1,0,0,0,0,2,2,114,114,False
1011,640703660,5.816438356,1,1,0,0,0,0,0,2,1,116,116,False
1012,344057140,5.701369863,1,0,0,1,0,0,0,3,2,94,94,False
1013,547003657,5.446575342,0,1,0,0,0,0,0,1,1,113,113,False
1014,155013602,5.553424658,0,0,1,0,0,0,1,3,2,95,95,False
1015,806792939,4.887671233,1,1,0,0,0,0,0,4,4,88,88,False
1016,843941652,4.808219178,1,0,0,0,0,1,1,4,2,116,116,False
1017,482418451,4.895890411,1,1,0,0,0,0,0,3,2,97,97,True
1018,713948612,5.271232877,1,1,0,0,0,0,0,3,2,101,101,False
1019,950669872,4.671232877,1,1,0,0,0,0,0,2,2,120,120,False
1020,697506911,4.578082192,1,0,1,0,0,0,0,1,1,97,97,True
1021,296704763,5.635616438,1,1,0,0,0,0,0,3,2,101,101,False
1022,828442621,4.997260274,0,1,0,0,0,0,0,2,1,103,103,False
1023,493187607,5.219178082,1,1,0,0,0,0,0,2,1,100,100,True
1024,885878543,5.536986301,0,1,0,0,0,0,0,3,3,102,102,False
1025,671575585,5.353424658,1,0,1,0,0,0,1,3,3,95,95,True
1026,863857215,5.720547945,0,1,0,0,0,0,0,2,2,113,113,False
1027,569344280,4.835616438,1,1,0,0,0,0,0,2,2,120,120,False
1028,793444279,4.926027397,0,0,1,0,0,0,0,1,1,91,91,False
1029,920135094,5.454794521,0,1,0,0,0,0,0,2,1,105,105,False
1030,181561540,4.983561644,0,1,0,0,0,0,0,3,3,95,95,True
1031,287281207,5.745205479,0,1,0,0,0,0,0,2,2,114,114,False
